Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945131435,0.96552182,0.979810965,1.0078286,1.048954376,1.062041604,1.077155771,1.098134595,1.157247615,1.16587274,1.152334116,1.191074341,1.225613635,1.228513706,1.222277974,1.224860299,1.223898374,1.262795749,1.301539191,1.314000445,1.290071386,1.302940607,1.317801356,1.285140991,1.308842778,1.36231792,1.355044603,1.35068965,,,
Afghanistan,AFG,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.190296733,10.0743573,10.91599978,11.74149724,12.21714018,14.5777877,14.59940261,14.17549163,14.5467284,16.61347791,17.24226389,17.50941886,17.0358776,17.02252002,17.44582794,17.20555805,17.14430943,17.91448267,
Angola,AGO,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06E-08,2.11E-08,1.19E-07,1.18E-06,2.64E-05,0.000497458,0.023939749,0.045997781,0.063388755,0.410849905,2.081743685,4.203521243,10.03390997,19.10367259,24.82366901,34.27518564,38.96333512,39.57883948,46.34378167,38.28420279,50.05276436,64.60575104,65.68167114,66.01937103,65.00067139,68.18204498,80.77896881,92.95172119,117.1160763,146.1671678,
Albania,ALB,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.338548664,3.065402199,9.979886585,21.99848946,29.25851254,31.47720483,35.42455714,38.73816718,40.72008055,41.10161348,42.00700776,42.80558038,42.92630751,44.63893888,44.93597711,45.5272769,44.47164631,44.68905876,44.56126875,44.30554612,44.16235593,43.85783397,43.6549997,44.113709,42.89380728,42.70583076,42.38587915,42.12103581,40.83694823,40.14524134,
Andorra,AND,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.167017196,1.137995705,1.132743131,1.120668228,1.094358065,1.11376609,1.156881439,1.126440215,1.066512615,1.140101476,1.242965634,1.18771295,1.213308042,1.239696536,1.309825101,1.480183941,1.608567217,1.762829873,2.049672527,1.725318197,1.918458625,2.126608372,2.1777246,2.213315964,2.18256712,2.187784672,2.189752102,2.221791983,2.346952366,2.258503076,
Argentina,ARG,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293642788,0.683116557,0.775239997,0.730329409,0.73543466,0.743129894,0.729385405,0.713694801,0.693716389,0.671283863,0.663416498,0.642063804,0.825195079,0.895180745,1.031788033,1.103858329,1.218660908,1.364084812,1.648101411,1.887153949,2.255571484,2.733127832,3.218153715,3.940966845,5.451963902,6.866548061,9.294965744,10.25682163,14.01928793,20.71395784,
Armenia,ARM,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005126002,0.008894544,0.058161904,0.847217887,34.8997294,89.2735841,104.8441313,121.3467875,132.8339971,131.0138842,126.3887889,128.6576805,129.640057,133.1292387,137.7785913,137.9039427,140.0346296,142.2051108,147.8467604,150.3923521,160.209069,163.6500092,157.9638367,159.8460999,165.1858978,172.9235229,161.2288818,155.9707031,156.5062188,155.7704797,
American Samoa,ASM,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75867662,1.745486703,1.748599379,1.739101389,1.757988355,1.763266483,1.783112832,1.784916508,1.802291429,1.803364727,1.74285929,1.73073631,1.715743659,1.669893007,1.651148866,1.672713176,1.630199254,1.646834449,1.686178398,1.704160752,1.709350909,1.691376686,1.82857132,1.854414701,1.914715052,2.039541245,2.060043097,2.093501091,2.081185198,2.019453209,
Australia,AUS,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.365519,1.348412,1.32855,1.312794,1.301014,1.310865,1.312182,1.308112,1.3003,1.29695,1.311473,1.326806,1.33649,1.353924,1.366397,1.388356,1.404001,1.427582,1.479073,1.441497,1.502766,1.511052,1.540115,1.447123,1.452489,1.473691,1.450156,1.472981,1.439831,1.442175,
Austria,AUT,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.922246,0.924566,0.935415,0.938959,0.94254,0.939929,0.936118,0.931829,0.922801,0.923906,0.907226,0.922769,0.899797,0.889084,0.878806,0.881939,0.861176,0.869233,0.854424,0.843111,0.841548,0.831374,0.813648,0.797081,0.798797,0.798813,0.776931,0.772542,0.740694,0.741282,
Azerbaijan,AZE,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64E-06,1.36E-05,0.000154566,0.001279059,0.018610279,0.117690677,0.146108281,0.156906661,0.153662794,0.154750905,0.170277084,0.170812916,0.175239754,0.184021553,0.195776447,0.21781672,0.235370785,0.276391295,0.346952129,0.279253069,0.314204734,0.383509785,0.369043291,0.359447956,0.35480395,0.377257109,0.430901468,0.505471647,0.553575394,0.541783029,
Burundi,BDI,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.14825359,71.63783523,73.82513252,77.70021508,81.12595509,92.25500205,103.6901222,134.9562559,148.7354497,168.5441116,186.5851989,207.6239084,206.491778,226.9441969,250.046851,288.1829203,287.6779221,303.3302878,369.5950267,405.161464,434.7832581,461.5091248,527.0529785,539.3110962,547.0996094,570.6591187,585.8931885,654.895874,621.0958227,614.2739019,
Belgium,BEL,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.915381,0.910908,0.921111,0.935723,0.935347,0.927321,0.929897,0.927803,0.935637,0.931348,0.899723,0.892244,0.8733,0.877016,0.889063,0.891788,0.87544,0.880041,0.86694,0.849484,0.835934,0.831911,0.822137,0.806166,0.800214,0.799998,0.781011,0.773165,0.741613,0.735893,
Benin,BEN,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.07062974,83.88506938,84.49709416,84.50455719,110.4582424,124.5257371,130.7333278,133.2305687,138.6402413,202.7353598,206.9107771,206.4589866,210.4678763,212.9569663,208.9701985,211.358967,209.4471932,204.7638306,213.780338,217.5511988,216.9396852,220.4335785,234.0041962,231.4772186,225.0442352,220.5238953,214.4338684,216.7736053,212.8667568,208.1482877,
Burkina Faso,BFA,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.439477,150.8914544,147.8643743,142.3595111,159.7873995,167.1005023,164.6680672,164.395805,175.4743518,203.0590152,196.9907148,200.3990037,203.309302,202.5660494,197.4343219,198.6299439,191.5176552,191.1559616,204.6840911,208.0219218,213.397739,223.1158142,238.978653,231.0792542,231.3259277,225.4159241,215.1966858,208.7572021,207.9361015,202.6846643,
Bangladesh,BGD,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54189366,13.4564594,13.49635735,13.20449514,13.44119359,14.10578414,14.43871672,14.73336074,15.25941617,15.61098846,15.79593203,15.9609707,16.32410153,16.95854502,17.26734345,17.51374311,17.99817772,18.66158441,19.74450854,20.92060886,22.1571298,23.40955544,23.78735161,24.96619797,25.81887817,27.28372955,28.4988308,29.73817444,30.65595845,31.41287192,
